,Orthomyxoviridae,Flaviviridae,Herpesviridae,Papillomaviridae,Retroviridae,Paramyxoviridae,Arenaviridae,Polyomaviridae,Coronaviridae,Poxviridae,Parvoviridae
O95071,1,1,1,1,0,0,0,0,0,0,1
Q9BXT5,0,0,0,0,0,0,0,0,0,0,0
O75691,1,1,0,0,0,0,0,0,0,0,0
Q9NT68,0,0,0,0,0,0,0,0,0,0,0
P01266,0,0,0,0,0,0,0,0,0,0,0
Q14643,0,0,0,0,0,0,0,0,0,0,0
Q6ZNJ1,0,0,0,0,0,0,0,0,0,0,0
Q9UQ35,1,0,1,1,1,0,1,1,0,0,1
Q14315,1,0,1,0,0,0,1,0,0,0,0
O60281,0,0,0,0,0,0,0,0,0,0,0
P15822,1,0,0,0,1,0,0,0,0,0,0
Q8TD26,1,0,0,0,0,0,0,0,0,0,0
Q9UMN6,0,0,0,0,0,0,0,0,0,0,0
Q8IYW2,0,0,0,0,0,0,0,0,0,0,0
Q02224,0,0,0,0,0,0,0,0,0,0,0
Q96L73,0,0,0,0,0,0,0,1,0,0,0
Q7Z333,0,0,1,0,0,0,0,0,0,0,0
Q92616,1,1,1,1,1,1,0,0,0,0,0
Q6UB99,0,0,0,0,0,0,0,0,0,0,0
Q9BYK8,1,0,0,0,0,0,0,0,0,0,0
Q13535,1,1,0,0,0,1,0,0,0,0,0
Q9P281,0,0,0,0,0,0,0,0,0,0,0
Q9P2D8,0,0,0,0,0,0,0,0,0,0,0
Q99973,0,0,0,0,0,0,0,0,0,0,0
A6H8Y1,0,0,0,0,0,0,0,0,0,0,0
O15021,1,0,0,0,0,0,0,0,0,1,0
Q6WRI0,0,0,0,0,0,0,0,0,0,0,0
Q9UPU5,1,1,1,0,0,0,0,0,0,0,0
Q9ULT8,1,1,1,0,0,1,0,0,1,0,0
O75179,0,0,1,0,1,0,0,0,0,0,0
Q9C0D2,1,1,0,0,0,0,0,0,0,0,0
Q86UK0,0,0,0,0,0,0,0,0,0,0,0
O75417,0,0,0,0,0,0,0,0,0,0,0
Q9HCE0,0,0,0,0,0,0,0,0,0,0,0
Q9C0A1,0,0,0,0,0,0,0,0,0,0,0
Q9NY15,0,1,0,0,0,0,0,0,0,0,0
Q9BYW2,1,1,0,0,0,0,0,0,0,0,0
P46531,0,1,1,0,1,0,0,0,0,0,0
P42345,1,1,0,0,0,0,0,0,0,0,0
B2RTY4,0,0,1,0,0,0,0,0,0,0,0
Q9Y4G6,0,0,0,0,1,0,0,0,0,0,0
Q68DK2,1,0,0,0,0,0,0,0,0,0,0
Q8TEP8,0,1,0,0,0,0,0,0,0,0,0
P16112,0,0,0,0,0,0,0,0,0,0,0
Q5S007,0,1,0,0,0,0,0,0,0,0,0
Q92508,0,1,0,1,0,0,0,0,0,0,0
Q8IWT3,0,0,0,1,0,0,0,0,0,0,0
Q9Y618,0,0,0,0,0,0,0,0,0,1,0
P49327,1,1,1,1,1,0,1,1,0,0,1
O00555,1,0,0,0,0,0,0,0,0,0,0
Q96JM2,0,0,0,0,0,0,0,0,0,0,0
P46100,0,0,1,0,0,0,0,0,0,0,0
P11717,1,0,1,1,1,0,0,1,0,0,0
Q8IVL1,1,0,0,0,0,0,0,0,0,0,0
Q96AY4,0,0,0,0,0,0,0,0,0,0,0
O15078,0,1,0,0,0,0,0,0,0,0,0
P02751,0,1,1,1,1,0,0,1,0,0,0
Q13813,1,1,1,1,0,0,1,0,0,0,1
Q5UIP0,1,0,0,1,0,0,0,0,0,0,1
P46821,1,0,0,0,1,0,1,0,0,0,0
Q5JWR5,0,0,0,0,0,0,0,0,0,0,0
Q7Z442,0,0,0,0,0,0,0,0,0,0,0
O00763,0,0,0,0,1,0,0,0,0,0,0
P31629,0,1,0,0,0,0,0,0,0,0,0
Q96JI7,0,0,0,0,0,0,0,0,0,0,0
Q92793,0,1,1,1,1,0,0,1,0,0,0
Q9BV73,0,1,0,0,0,0,0,0,1,0,0
Q6W4X9,0,0,0,0,0,0,0,0,0,0,0
Q9BZC7,1,0,0,0,0,0,0,0,0,0,0
Q5VWN6,0,1,0,1,0,0,0,0,0,0,0
P18583,1,0,0,1,1,0,0,0,0,1,0
Q7Z2Y8,0,0,0,0,0,0,0,0,0,0,0
Q9UGM3,0,0,0,0,1,1,0,0,0,0,0
Q5T1R4,0,0,0,0,0,0,0,0,0,0,0
Q8IWN7,0,0,0,0,0,0,0,0,0,0,0
Q5D862,0,0,0,0,0,0,0,0,0,0,0
O15020,0,1,1,0,0,0,0,0,0,1,1
Q9H4A3,0,1,1,0,0,0,0,0,0,1,0
O43497,0,0,0,0,0,0,0,0,0,0,0
A5YKK6,1,1,1,0,0,0,0,0,0,0,0
A2RRP1,0,1,0,0,0,0,0,0,0,0,0
Q6PRD1,0,0,0,0,0,0,0,0,0,0,0
Q9H2D6,1,1,0,0,0,0,0,0,0,0,0
P12270,1,0,0,0,1,0,1,0,0,0,0
O15027,1,1,1,0,0,0,0,0,0,0,0
Q9HCK1,1,0,0,0,0,0,0,0,0,0,0
Q4AC94,0,0,0,0,0,0,0,0,0,0,0
Q3ZCN5,0,0,0,0,0,0,0,0,0,0,0
P00451,0,0,0,0,0,0,0,0,0,1,0
