GO:1903421	Any process that modulates the frequency, rate or extent of synaptic vesicle recycling.
GO:0001963	The vesicular release of dopamine. from a presynapse, across a chemical synapse, the subsequent activation of dopamine receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse.
GO:1904646	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a amyloid-beta stimulus.
GO:0001764	The characteristic movement of an immature neuron from germinal zones to specific positions where they will reside as they mature.
GO:0005515	Binding to a protein.
GO:0048489	The directed movement of synaptic vesicles.
GO:0002039	Binding to one of the p53 family of proteins.
GO:0035255	Binding to an ionotropic glutamate receptor. Ionotropic glutamate receptors bind glutamate and exert an effect through the regulation of ion channels.
GO:0061001	Any process that modulates the rate, frequency, or extent of dendritic spine morphogenesis, the process in which the anatomical structures of a dendritic spine are generated and organized. A dendritic spine is a protrusion from a dendrite and a specialized subcellular compartment involved in synaptic transmission.
GO:0099533	Any process that increases the concentration of calcium ions in the presynaptic cytosol.
GO:0016533	A protein complex that has protein serine/threonine kinase activity; in mammals composed of catalytic subunit CDK5 and regulatory subunits CDK5R1 or CDK5R2. Contrary to its gene symbol, CDK5 is not cyclin-dependent.
GO:0030027	A thin sheetlike process extended by the leading edge of a migrating cell or extending cell process; contains a dense meshwork of actin filaments.
GO:1901987	Any process that modulates the frequency, rate or extent of cell cycle phase transition.
GO:0051402	Any apoptotic process in a neuron, the basic cellular unit of nervous tissue. Each neuron consists of a body, an axon, and dendrites. Their purpose is to receive, conduct, and transmit impulses in the nervous system.
GO:0043005	A prolongation or process extending from a nerve cell, e.g. an axon or dendrite.
GO:0030036	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins.
GO:0005886	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.
GO:0022038	The process whose specific outcome is the progression of the corpus callosum over time, from its formation to the mature structure. The corpus callosum is a thick bundle of nerve fibers comprising a commissural plate connecting the two cerebral hemispheres. It consists of contralateral axon projections that provide communication between the right and left cerebral hemispheres.
GO:0030334	Any process that modulates the frequency, rate or extent of cell migration.
GO:0048813	The process in which the anatomical structures of a dendrite are generated and organized.
GO:0014044	The process aimed at the progression of a Schwann cell over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell. Schwann cells are found in the peripheral nervous system, where they insulate neurons and axons, and regulate the environment in which neurons function.
GO:0106310	Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate.
GO:0016020	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.
GO:0030426	The migrating motile tip of a growing neuron projection, where actin accumulates, and the actin cytoskeleton is the most dynamic.
GO:0008306	Learning by associating a stimulus (the cause) with a particular outcome (the effect).
GO:0035418	Any process in which a protein is transported to, and/or maintained at the synapse, the junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell.
GO:0031594	The junction between the axon of a motor neuron and a muscle fiber. In response to the arrival of action potentials, the presynaptic button releases molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane of the muscle fiber, leading to a change in post-synaptic potential.
GO:0060079	A process that leads to a temporary increase in postsynaptic potential due to the flow of positively charged ions into the postsynaptic cell. The flow of ions that causes an EPSP is an excitatory postsynaptic current (EPSC) and makes it easier for the neuron to fire an action potential.
GO:0021819	The detachment of cells from radial glial fibers at the appropriate time when they cease to migrate and form distinct layer in the cerebral cortex.
GO:0051301	The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells.
GO:0030424	The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter.
