GO:0046982	Binding to a nonidentical protein to form a heterodimer.
GO:0003064	The process in which the hormones modulates the rate of heart muscle contraction. A hormone is one of a group of substances formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells, in the same organism, upon which they have a specific regulatory action.
GO:0021762	The progression of the substantia nigra over time from its initial formation until its mature state. The substantia nigra is the layer of gray substance that separates the posterior parts of the cerebral peduncles (tegmentum mesencephali) from the anterior parts; it normally includes a posterior compact part with many pigmented cells (pars compacta) and an anterior reticular part whose cells contain little pigment (pars reticularis).
GO:0031625	Binding to a ubiquitin protein ligase enzyme, any of the E3 proteins.
GO:0002753	The series of molecular signals initiated by the binding of a ligand from another organism to a cytoplasmic pattern recognition receptor (PRR). PRRs bind pathogen-associated molecular pattern (PAMPs), structures conserved among microbial species.
GO:0001764	The characteristic movement of an immature neuron from germinal zones to specific positions where they will reside as they mature.
GO:0005246	Modulates the activity of a calcium channel.
GO:0004864	Binds to and stops, prevents or reduces the activity of a protein phosphatase.
GO:0005515	Binding to a protein.
GO:0070062	A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm.
GO:0006605	The process of targeting specific proteins to particular regions of the cell, typically membrane-bounded subcellular organelles. Usually requires an organelle specific protein sequence motif.
GO:0030007	A homeostatic process involved in the maintenance of a steady state level of potassium ions within a cell.
GO:0034142	The series of molecular signals initiated by a ligand binding to toll-like receptor 4.
GO:0051480	Any process involved in the maintenance of an internal steady state of calcium ions within the cytosol of a cell or between the cytosol and its surroundings.
GO:0019855	Binds to and stops, prevents, or reduces the activity of a calcium channel.
GO:0035591	The binding activity of a molecule that brings together two or more molecules in a signaling pathway, permitting those molecules to function in a coordinated way. Adaptor molecules themselves do not have catalytic activity.
GO:0021766	The progression of the hippocampus over time from its initial formation until its mature state.
GO:0005829	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.
GO:0003723	Binding to an RNA molecule or a portion thereof.
GO:0006888	The directed movement of substances from the endoplasmic reticulum (ER) to the Golgi, mediated by COP II vesicles. Small COP II coated vesicles form from the ER and then fuse directly with the cis-Golgi. Larger structures are transported along microtubules to the cis-Golgi.
GO:0015459	Binds to and modulates the activity of a potassium channel.
GO:0140311	Binding to a protein to prevent it from interacting with other partners or to inhibit its localization to the area of the cell or complex where it is active.
GO:1905913	Any process that stops, prevents or reduces the frequency, rate or extent of calcium ion export across the plasma membrane.
